,Title,type,subway,check,score_Кухня,score_Интерьер,score_Сервис,votes,district
1665,Mr. Black,Кофейня,"Сенная Площадь, Садовая, Спасская",200.0,7.2,8.2,7.2,7.0,distr_Centr
1666,9 Bar,Кофейня,Звенигородская,200.0,8.0,8.1,7.2,3.0,distr_Centr
1667,64 зерна,Кофейня,"Владимирская, Достоевская",400.0,6.6,7.9,7.0,22.0,distr_Centr
1668,Абрикосовъ,Кафе,"Невский Проспект, Гостиный Двор",1500.0,6.5,6.5,5.2,54.0,distr_Centr
1669,Кофе на кухне,Кофейня,"Невский Проспект, Гостиный Двор",400.0,7.5,8.0,6.9,21.0,distr_Centr
1673,Шоколад,Кофейня,"Невский Проспект, Гостиный Двор",250.0,7.8,6.8,7.9,19.0,distr_Centr
1675,Щегол,Кофейня,Чернышевская,200.0,8.4,8.5,8.8,5.0,distr_Centr
1676,Surf Coffee,Кофейня,"Сенная Площадь, Садовая, Спасская",200.0,8.1,8.6,8.4,17.0,distr_Centr
1677,Doza,Кофейня,Лиговский Проспект,100.0,9.2,7.7,10.0,3.0,distr_Centr
1678,Starbucks,Кофейня,"Маяковская, Площадь Восстания",550.0,5.7,4.7,6.6,14.0,distr_Centr
1679,Симона,Кофейня,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",150.0,0.0,0.0,0.0,10.0,distr_Centr
1680,The 90's,Кафе,"Гостиный Двор, Невский Проспект",300.0,0.0,0.0,0.0,13.0,distr_Centr
1681,Ереванские пончики,Кондитерская,Чернышевская,300.0,0.0,0.0,0.0,2.0,distr_Centr
1682,Sundust,Кафе,Гостиный Двор,500.0,0.0,0.0,0.0,3.0,distr_Centr
1683,Cookies Cafe,Кофейня,Чернышевская,300.0,0.0,0.0,0.0,1.0,distr_Centr
1684,Шоко-Мокко,Кофейня,"Садовая, Сенная Площадь, Спасская",300.0,2.7,6.7,3.2,5.0,distr_Centr
1685,Склад 17,Кофейня,Чернышевская,250.0,0.0,0.0,0.0,1.0,distr_Centr
1687,Покешная и кофешная,Корнер,"Площадь Восстания, Маяковская",300.0,0.0,0.0,0.0,1.0,distr_Centr
1689,Бриошь,Кофейня,Лиговский Проспект,100.0,0.0,0.0,0.0,5.0,distr_Centr
1690,Reve,Кофейня,"Садовая, Сенная Площадь, Спасская",250.0,0.0,0.0,0.0,1.0,distr_Centr
1691,Пончкофф,Кофейня,"Садовая, Сенная Площадь, Спасская",300.0,4.9,7.2,6.6,4.0,distr_Centr
1692,Гонконгские вафли,Кофейня,"Садовая, Сенная Площадь, Спасская",200.0,0.0,0.0,0.0,1.0,distr_Centr
1699,Своя комната,Кофейня,"Садовая, Спасская, Сенная Площадь",300.0,0.0,0.0,0.0,2.0,distr_Centr
1701,Спасибокофе,Кофейня,Чернышевская,200.0,0.0,0.0,0.0,1.0,distr_Centr
1702,Том Сойер,Кофейня,"Садовая, Сенная Площадь, Спасская",450.0,0.0,0.0,0.0,1.0,distr_Centr
1703,Schumli,Кафе,"Садовая, Спасская",400.0,0.0,0.0,0.0,3.0,distr_Centr
1705,Bazar,Кофейня,Сенная Площадь,250.0,0.0,0.0,0.0,2.0,distr_Centr
1706,Bake Me Up,Кофейня,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",250.0,0.0,0.0,0.0,2.0,distr_Centr
1708,Bica,Кафе,"Садовая, Сенная Площадь, Спасская",200.0,0.0,0.0,0.0,3.0,distr_Centr
1711,Welcome coffee,Кофейня,Гостиный Двор,150.0,0.0,0.0,0.0,1.0,distr_Centr
1712,Зерна,Кофейня,"Садовая, Спасская, Сенная Площадь",200.0,0.0,0.0,0.0,1.0,distr_Centr
1715,Лавка счастья,Кофейня,Невский Проспект,300.0,0.0,0.0,0.0,1.0,distr_Centr
1717,Папарацци,Кафе,"Садовая, Сенная Площадь, Спасская",600.0,0.0,0.0,0.0,1.0,distr_Centr
1718,Чайникофф,Кофейня,Чернышевская,365.0,7.9,8.8,9.6,3.0,distr_Centr
1720,Tucano Coffee,Кофейня,Чернышевская,500.0,0.0,0.0,0.0,1.0,distr_Centr
1721,FAB To Go,Кофейня,"Гостиный Двор, Невский Проспект, Спасская, Садовая, Сенная Площадь",300.0,0.0,0.0,0.0,1.0,distr_Centr
1723,Coffee Go,Кофейня,"Садовая, Сенная Площадь, Спасская",150.0,0.0,0.0,0.0,1.0,distr_Centr
1724,Crumbs,Кофейня,"Звенигородская, Пушкинская",300.0,8.7,7.2,9.4,5.0,distr_Centr
1725,Gran,Кофейня,"Сенная Площадь, Садовая, Спасская",300.0,8.5,8.1,9.8,7.0,distr_Centr
1726,Bunker,Кофейня,"Садовая, Спасская, Сенная Площадь",200.0,0.0,0.0,0.0,1.0,distr_Centr
1727,Kiosk 59,Кофейня,"Сенная Площадь, Спасская, Садовая",200.0,7.0,8.0,9.0,2.0,distr_Centr
1728,Pitcher,Кофейня,Маяковская,200.0,9.2,7.7,9.1,10.0,distr_Centr
1731,Характер кофе,Кофейня,"Садовая, Сенная Площадь, Спасская",300.0,8.5,7.6,7.9,16.0,distr_Centr
1733,Булочная Ф. Вольчека,Пекарня,"Садовая, Сенная Площадь, Спасская",100.0,7.3,7.1,7.7,20.0,distr_Centr
1734,Garcon,Кафе,"Невский Проспект, Гостиный Двор",500.0,7.4,8.1,6.2,22.0,distr_Centr
1735,Хлеб насущный,Кафе,"Невский Проспект, Гостиный Двор, Адмиралтейская",950.0,7.0,7.0,7.5,2.0,distr_Centr
1739,ЛюдиЛюбят,Пекарня,Чернышевская,100.0,9.4,7.6,7.7,5.0,distr_Centr
1740,Жан Руа,Пекарня,"Гостиный Двор, Невский Проспект",200.0,0.0,0.0,0.0,4.0,distr_Centr
1743,Madame Matilda,Пекарня,Чернышевская,100.0,0.0,0.0,0.0,1.0,distr_Centr
1744,Хлебная лавка,Кондитерская,"Пушкинская, Звенигородская",250.0,0.0,0.0,0.0,1.0,distr_Centr
1746,Лавка хлебосолов,Кулинария,"Садовая, Спасская, Сенная Площадь",250.0,0.0,0.0,0.0,1.0,distr_Centr
1748,Babe's Bakery,Кофейня,"Владимирская, Достоевская",200.0,7.1,7.7,8.0,5.0,distr_Centr
1750,Beggroff Bakery,Кофейня,"Гостиный Двор, Невский Проспект",300.0,6.4,8.6,7.6,2.0,distr_Centr
1751,Даблби,Кофейня,"Невский Проспект, Гостиный Двор, Адмиралтейская",400.0,5.7,6.8,6.4,10.0,distr_Centr
1752,Espresso Bike,Кафе,Невский Проспект,200.0,7.3,7.3,6.7,2.0,distr_Centr
1756,Мистер Булка,Кафе,"Площадь Восстания, Чернышевская, Площадь Александра Невского",150.0,0.0,0.0,0.0,2.0,distr_Centr
1759,Event Loft,Банкетный зал,"Гостиный Двор, Сенная Площадь, Спасская, Садовая",2500.0,10.0,10.0,10.0,8.0,distr_Centr
1760,Mollie's Mews,Паб,"Невский Проспект, Гостиный Двор",950.0,6.8,8.0,6.4,17.0,distr_Centr
1761,Boston,Ресторан,"Площадь Восстания, Маяковская",2200.0,8.2,8.2,6.4,2.0,distr_Centr
1762,Seafood Bar&Shop Saint-Petersburg,Ресторан,Чернышевская,1500.0,8.1,7.5,8.7,17.0,distr_Centr
1763,Vinity,Банкетный зал,Чернышевская,2500.0,9.5,9.7,9.7,55.0,distr_Centr
1764,Philibert,Ресторан,Лиговский Проспект,1050.0,8.0,9.2,8.1,75.0,distr_Centr
1765,Nama,Ресторан,"Площадь Восстания, Маяковская",1300.0,8.8,10.0,8.0,7.0,distr_Centr
1767,Баку,Ресторан,"Невский Проспект, Гостиный Двор",1300.0,8.3,9.0,8.6,168.0,distr_Centr
1768,Нева-Холл,Банкетный зал,Чернышевская,1250.0,9.6,9.8,9.6,115.0,distr_Centr
1770,Эривань,Ресторан,"Гостиный Двор, Владимирская, Достоевская",1650.0,9.4,9.4,9.5,103.0,distr_Centr
1772,Provence,Банкетный зал,"Чернышевская, Маяковская, Площадь Восстания",900.0,9.3,9.1,9.3,31.0,distr_Centr
1777,Рада & К,Кафе,"Садовая, Сенная Площадь, Спасская",450.0,6.7,5.8,6.4,18.0,distr_Centr
1778,Mickey & Monkeys,Ресторан,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",900.0,7.2,8.0,6.0,88.0,distr_Centr
1779,Мы же на ты,Ресторан,"Маяковская, Площадь Восстания",700.0,8.0,8.5,8.2,26.0,distr_Centr
1780,Bourgeois Bohemians,Ресторан,Чернышевская,1400.0,9.0,8.4,9.3,23.0,distr_Centr
1784,Duo Gastrobar,Гастробар,Чернышевская,950.0,9.1,8.0,8.8,98.0,distr_Centr
1785,Tandoor & Grill,Ресторан,"Садовая, Спасская, Сенная Площадь",900.0,8.6,8.1,9.1,15.0,distr_Centr
1786,Commons,Ресторан,"Невский Проспект, Гостиный Двор",1200.0,9.2,8.3,9.1,10.0,distr_Centr
1787,Тартарбар,Гастробар,"Чернышевская, Площадь Восстания",1200.0,8.3,8.2,8.4,58.0,distr_Centr
1788,Serbish,Ресторан,Чернышевская,1300.0,8.8,8.6,9.3,96.0,distr_Centr
1789,Весенний,Банкетный зал,"Садовая, Сенная Площадь, Технологический Институт, Балтийская, Спасская",2700.0,9.6,9.9,9.6,60.0,distr_Centr
1790,Mr. Bo,Ресторан,Чернышевская,1500.0,8.4,8.4,8.0,21.0,distr_Centr
1792,Шашлык Хауз,Кафе,"Площадь Восстания, Маяковская",1000.0,9.4,7.7,8.8,14.0,distr_Centr
1793,Сабай Sabay,Кафе,"Сенная Площадь, Спасская, Садовая",600.0,8.0,7.6,7.3,27.0,distr_Centr
1794,Склад № 5,Ресторан,"Невский Проспект, Гостиный Двор",1550.0,9.1,8.7,8.9,52.0,distr_Centr
1795,Амадеус,Банкетный зал,Чернышевская,1100.0,9.2,9.6,9.1,89.0,distr_Centr
1796,Пышечная на Большой Конюшенной,Кафе,"Невский Проспект, Адмиралтейская",70.0,9.3,8.4,8.9,16.0,distr_Centr
1797,Oversize,Пиццерия,"Садовая, Спасская, Сенная Площадь",600.0,9.8,8.8,8.0,6.0,distr_Centr
1798,Русский ампир,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",3450.0,8.9,9.6,8.9,50.0,distr_Centr
1799,Лофт Сюзора,Банкетный зал,"Садовая, Сенная Площадь, Спасская",2500.0,9.9,10.0,10.0,8.0,distr_Centr
1800,Loft 1846,Лофт,"Невский Проспект, Гостиный Двор",2400.0,0.0,0.0,0.0,2.0,distr_Centr
1801,Mariniere by maison de Жиробас,Ресторан,Чернышевская,1600.0,10.0,9.0,10.0,3.0,distr_Centr
1802,Мангал №1,Кафе,"Сенная Площадь, Спасская, Садовая",700.0,0.0,0.0,0.0,7.0,distr_Centr
1803,Mostik Cafe,Кафе,"Садовая, Сенная Площадь, Спасская",600.0,10.0,9.7,9.9,8.0,distr_Centr
1804,Живи вкусно,Кулинарная студия,"Садовая, Сенная Площадь, Спасская",1800.0,9.5,9.4,9.6,23.0,distr_Centr
1806,Jack&Chan,Кафе,"Невский Проспект, Гостиный Двор",800.0,7.5,7.9,5.8,35.0,distr_Centr
1808,Lodka Seafood Oyster Bar,Ресторан,"Площадь Восстания, Маяковская",1500.0,8.5,7.4,8.0,10.0,distr_Centr
1809,Pasta Fresca,Кафе,"Площадь Восстания, Маяковская, Чернышевская",450.0,8.9,7.9,8.9,6.0,distr_Centr
1811,Salad Bar,Корнер,"Площадь Восстания, Маяковская",600.0,8.6,9.6,9.0,5.0,distr_Centr
1816,Bruxelles,Гастробар,"Чернышевская, Маяковская, Площадь Восстания",1200.0,7.8,8.3,7.8,32.0,distr_Centr
1818,Graf-in,Ресторан,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",1300.0,8.7,9.3,8.6,127.0,distr_Centr
1819,Греми,Кафе,Чернышевская,800.0,9.3,9.3,9.4,29.0,distr_Centr
1822,Суарэ,Ресторан,"Маяковская, Площадь Восстания",1100.0,8.2,8.1,8.9,20.0,distr_Centr
1823,Tiramisu Loft,Банкетный зал,"Адмиралтейская, Садовая, Спасская, Сенная Площадь",2500.0,9.9,9.5,8.7,12.0,distr_Centr
1824,Robata,Ресторан,"Владимирская, Достоевская",1200.0,7.9,8.0,8.1,20.0,distr_Centr
1825,Fort Maverick,Ресторан,Чернышевская,1700.0,9.8,10.0,9.4,6.0,distr_Centr
1826,Ассамблея,Банкетный зал,"Чернышевская, Ладожская, Новочеркасская",1750.0,7.5,8.5,7.5,13.0,distr_Centr
1827,Ирис,Ресторан,"Садовая, Сенная Площадь, Спасская",1100.0,9.6,9.3,9.8,7.0,distr_Centr
1829,Georgian's,Ресторан,"Владимирская, Достоевская, Маяковская",700.0,9.2,9.0,9.0,5.0,distr_Centr
1830,Umami,Кафе,Лиговский Проспект,900.0,7.2,7.2,7.3,23.0,distr_Centr
1831,Колесо,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",1300.0,9.7,8.4,9.1,7.0,distr_Centr
1832,ChaChaПури,Ресторан,Маяковская,850.0,8.1,8.8,8.4,14.0,distr_Centr
1833,Gräs/Madbaren,Ресторан,"Гостиный Двор, Невский Проспект",1200.0,7.9,8.3,8.6,26.0,distr_Centr
1835,Sushi by Duo,Служба доставки,Чернышевская,1500.0,8.7,9.0,8.1,4.0,distr_Centr
1836,Чебуречная «Салхино»,Ресторан,"Садовая, Сенная Площадь, Технологический Институт, Спасская",1000.0,8.1,7.4,6.8,74.0,distr_Centr
1837,Soprano,Ресторан,Маяковская,2500.0,9.7,9.6,9.1,14.0,distr_Centr
1840,Дворец «Олимпия»,Банкетный зал,Чернышевская,2000.0,9.1,9.1,9.1,9.0,distr_Centr
1841,Прана бар,Кафе,"Сенная Площадь, Садовая, Спасская",700.0,8.1,8.9,9.2,43.0,distr_Centr
1844,Atlas Bistro,Ресторан,"Площадь Восстания, Маяковская",1200.0,7.0,7.4,8.9,3.0,distr_Centr
1845,2TACO&CO,Кафе,"Площадь Восстания, Маяковская",450.0,7.8,8.0,8.4,17.0,distr_Centr
1846,Конго,Ресторан,"Маяковская, Площадь Восстания",850.0,7.0,8.6,7.7,41.0,distr_Centr
1847,Аджабсандал,Ресторан,"Невский Проспект, Владимирская, Достоевская, Гостиный Двор, Маяковская, Площадь Восстания",1100.0,9.0,8.5,8.1,67.0,distr_Centr
1848,Кочубей клуб,Банкетный зал,Чернышевская,2000.0,8.0,8.9,7.9,38.0,distr_Centr
1849,1001 ночь,Ресторан,"Невский Проспект, Гостиный Двор",1350.0,8.2,8.3,8.0,88.0,distr_Centr
1850,La Maree,Ресторан,"Чернышевская, Маяковская, Площадь Восстания",3300.0,8.7,7.6,8.1,30.0,distr_Centr
1851,Дом актера,Ресторан,"Маяковская, Площадь Восстания",900.0,9.6,9.0,7.6,9.0,distr_Centr
1852,Namaste,Ресторан,Невский Проспект,1300.0,8.8,7.8,8.0,9.0,distr_Centr
1853,Шикари,Ресторан,"Невский Проспект, Гостиный Двор",1300.0,5.6,8.2,7.2,7.0,distr_Centr
1854,Хинкальная на Неве,Ресторан,Чернышевская,1350.0,7.2,6.9,7.2,4.0,distr_Centr
1856,GoldenCafe,Кафе,"Садовая, Сенная Площадь, Балтийская, Спасская",650.0,9.7,7.9,8.1,4.0,distr_Centr
1857,Жюль Верн,Кафе,"Технологический Институт, Пушкинская",600.0,9.2,8.7,8.8,35.0,distr_Centr
1858,Крокодил,Ресторан,"Садовая, Сенная Площадь, Спасская",1100.0,9.1,7.3,8.3,28.0,distr_Centr
1859,Депо,Кафе,"Маяковская, Площадь Восстания",550.0,7.4,8.8,8.6,9.0,distr_Centr
1860,Curry House,Ресторан,"Садовая, Сенная Площадь, Спасская",900.0,8.0,7.2,8.3,15.0,distr_Centr
1861,ОбаДва,Гастробар,"Площадь Восстания, Чернышевская",900.0,8.0,7.7,8.5,20.0,distr_Centr
1862,Мамэле,Кафе,Чернышевская,400.0,8.5,8.5,8.5,4.0,distr_Centr
1863,Taleon,Банкетный зал,"Невский Проспект, Гостиный Двор, Адмиралтейская",2650.0,8.3,9.9,8.3,7.0,distr_Centr
1864,Sadko,Ресторан,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",1600.0,8.2,8.4,8.8,45.0,distr_Centr
1865,1-е Офицерское собрание,Банкетный зал,"Чернышевская, Площадь Ленина, Маяковская, Площадь Восстания",2000.0,9.1,9.1,7.9,10.0,distr_Centr
1866,Mapuche,Ресторан,Чернышевская,1200.0,7.4,8.4,7.8,15.0,distr_Centr
1867,Маша и медведь,Ресторан,"Невский Проспект, Гостиный Двор",1500.0,8.1,8.3,8.1,7.0,distr_Centr
1868,Фрида,Кафе,Чернышевская,1250.0,7.4,8.9,8.3,24.0,distr_Centr
1869,Буфетъ,Кафе,"Маяковская, Площадь Восстания",900.0,6.6,9.1,7.9,8.0,distr_Centr
1870,Песнь моряка,Ресторан,"Гостиный Двор, Невский Проспект",1500.0,7.6,7.5,8.4,3.0,distr_Centr
1871,Гимназия,Ресторан,"Садовая, Спасская, Адмиралтейская",1900.0,7.4,8.5,7.3,41.0,distr_Centr
1872,Арагви,Ресторан,"Невский Проспект, Гостиный Двор, Маяковская, Площадь Восстания",1150.0,8.4,8.7,8.1,78.0,distr_Centr
1873,Ketch Up Burgers,Ресторан,"Гостиный Двор, Маяковская",800.0,8.4,8.2,7.8,37.0,distr_Centr
1874,Pinch!,Кафе,Гостиный Двор,600.0,7.4,7.1,6.6,28.0,distr_Centr
1876,Театро,Ресторан,"Садовая, Сенная Площадь, Спасская",1600.0,7.1,7.5,6.5,34.0,distr_Centr
1877,Арт-буфетъ,Кафе,"Невский Проспект, Гостиный Двор, Адмиралтейская",850.0,7.8,8.6,8.2,5.0,distr_Centr
1878,The Office Pub,Паб,"Невский Проспект, Гостиный Двор",1200.0,8.1,8.6,7.5,31.0,distr_Centr
1879,Tandoori Nights,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",1200.0,8.7,7.3,8.8,12.0,distr_Centr
1880,Барбария,Ресторан,"Владимирская, Достоевская, Лиговский Проспект, Пушкинская, Звенигородская",1500.0,7.2,7.9,7.2,79.0,distr_Centr
1881,Дом семейных торжеств,Банкетный зал,"Садовая, Сенная Площадь, Технологический Институт, Спасская",2500.0,8.4,9.8,7.8,15.0,distr_Centr
1882,EM,Ресторан,"Адмиралтейская, Садовая, Сенная Площадь, Спасская",2500.0,8.2,8.0,8.3,11.0,distr_Centr
1883,Декантер,Ресторан,Чернышевская,1350.0,8.0,8.4,7.5,17.0,distr_Centr
1884,Кэт,Кафе,"Маяковская, Площадь Восстания",1300.0,8.7,7.9,8.3,41.0,distr_Centr
1885,Little India,Кафе,"Сенная Площадь, Садовая, Спасская",950.0,7.8,7.1,7.5,5.0,distr_Centr
1887,Nomo,Ресторан,"Невский Проспект, Гостиный Двор",1500.0,7.9,7.7,6.1,3.0,distr_Centr
1888,Sofit Event House,Банкетный зал,Лиговский Проспект,2500.0,9.0,8.5,6.1,7.0,distr_Centr
1889,Ra Family,undefined,"Владимирская, Достоевская",600.0,7.5,7.6,7.8,12.0,distr_Centr
1890,Buuza Room,Кафе,"Садовая, Сенная Площадь, Спасская",550.0,7.9,6.6,7.0,15.0,distr_Centr
1891,Gustogram,Ресторан,Маяковская,800.0,7.2,7.7,7.0,29.0,distr_Centr
1892,Le Glamour,Банкетный зал,"Садовая, Сенная Площадь, Спасская, Технологический Институт",1500.0,8.9,9.7,8.9,147.0,distr_Centr
1894,Кашмир,Кафе,"Владимирская, Достоевская",1050.0,7.6,7.4,7.5,32.0,distr_Centr
1895,KwakInn Draught & Bottle,Ресторан,"Владимирская, Маяковская, Достоевская",250.0,0.0,8.0,8.0,1.0,distr_Centr
1896,Караван,Ресторан,"Садовая, Сенная Площадь, Технологический Институт, Спасская",1350.0,8.6,8.4,7.7,87.0,distr_Centr
1897,Чаплин клуб,Кафе,Чернышевская,1300.0,7.3,7.9,7.8,10.0,distr_Centr
1898,Пагода Мот Кот,Ресторан,Чернышевская,1000.0,7.9,7.7,7.5,26.0,distr_Centr
1899,Popio,Кафе,"Маяковская, Площадь Восстания",400.0,8.4,7.2,8.2,5.0,distr_Centr
1900,Пузата хата,Ресторан,"Чернышевская, Маяковская, Площадь Восстания",1000.0,7.1,7.9,7.4,56.0,distr_Centr
1901,Claret Cafe,Кафе,"Владимирская, Достоевская, Маяковская, Площадь Восстания",1200.0,8.1,8.9,7.3,21.0,distr_Centr
1902,PhoBo,Кафе,"Площадь Восстания, Маяковская",600.0,6.6,5.7,6.3,5.0,distr_Centr
1903,Персия,Ресторан,"Садовая, Сенная Площадь, Спасская",1150.0,8.0,7.9,7.9,26.0,distr_Centr
1904,Кавалерия,Ресторан,Чернышевская,1000.0,7.8,7.4,7.8,6.0,distr_Centr
1905,Корчма сало,Ресторан,Чернышевская,1200.0,7.1,8.0,7.7,57.0,distr_Centr
1906,Кафе д'Ор,Кафе,"Невский Проспект, Гостиный Двор",1500.0,8.4,7.0,7.9,5.0,distr_Centr
1907,Дворянское собрание,Ресторан,"Невский Проспект, Гостиный Двор",1550.0,8.2,7.8,7.9,17.0,distr_Centr
1908,Дворец Сюзора,Банкетный зал,"Садовая, Сенная Площадь, Спасская",2800.0,7.9,9.1,7.1,31.0,distr_Centr
1909,El Ponto,Ресторан,"Лиговский Проспект, Обводный канал",1600.0,7.9,8.7,7.9,8.0,distr_Centr
1912,Рубаи,Кафе,"Невский Проспект, Гостиный Двор, Маяковская, Площадь Восстания",1350.0,6.7,7.0,6.7,29.0,distr_Centr
1913,Пельмения,Ресторан,"Владимирская, Достоевская",500.0,7.9,6.8,7.6,7.0,distr_Centr
1914,Аъло,Кафе,"Садовая, Сенная Площадь, Спасская",300.0,8.9,7.0,7.0,4.0,distr_Centr
1915,Bagatelle,Ресторан,"Невский Проспект, Гостиный Двор",700.0,7.7,7.0,8.1,10.0,distr_Centr
1918,Пышечка,Кафе,"Садовая, Спасская, Сенная Площадь",50.0,7.9,7.1,8.3,10.0,distr_Centr
1919,Невский Дворик,Кафе,"Невский Проспект, Гостиный Двор",750.0,8.5,7.8,6.5,11.0,distr_Centr
1920,Alazani,Кафе,"Садовая, Сенная Площадь, Спасская",900.0,7.6,6.3,6.8,14.0,distr_Centr
1921,Una,Ресторан,Невский Проспект,1500.0,7.2,7.5,7.8,8.0,distr_Centr
1922,Демидов,Ресторан,"Гостиный Двор, Чернышевская",1900.0,6.9,7.4,7.6,12.0,distr_Centr
1923,Джем,Кафе,Чернышевская,800.0,7.8,6.3,8.3,6.0,distr_Centr
1924,Ауровилль,Кафе,"Маяковская, Площадь Восстания",500.0,9.0,7.1,5.9,6.0,distr_Centr
1925,Самба-суши,Ресторан,"Чернышевская, Маяковская, Площадь Восстания",850.0,8.4,7.1,6.7,42.0,distr_Centr
1927,Боржоми,Кафе,"Чернышевская, Маяковская, Площадь Восстания",600.0,8.7,6.6,6.6,11.0,distr_Centr
1928,Санкт-Петербург,Ресторан,"Невский Проспект, Гостиный Двор",2200.0,7.2,6.8,7.7,10.0,distr_Centr
1929,Нячанг,Кафе,"Технологический Институт, Пушкинская, Звенигородская",550.0,7.8,4.9,7.8,12.0,distr_Centr
1932,Steak Bar Sobolev,Стейк-хаус,"Садовая, Сенная Площадь, Спасская",1000.0,7.0,7.1,7.4,6.0,distr_Centr
1933,Книги и кофе,Кафе,Чернышевская,700.0,7.1,7.1,6.3,10.0,distr_Centr
1934,Веранда,Ресторан,"Маяковская, Площадь Восстания",900.0,7.9,6.7,7.7,6.0,distr_Centr
1935,Chez Jules,Кафе,Чернышевская,900.0,7.3,6.3,7.0,19.0,distr_Centr
1937,Одесса-мама,Ресторан,"Невский Проспект, Гостиный Двор",1200.0,7.0,7.0,7.4,34.0,distr_Centr
1939,Кавказ-бар,Кафе,"Невский Проспект, Гостиный Двор",1050.0,7.7,6.1,6.6,36.0,distr_Centr
1940,Warsteiner Forum,Кафе,"Маяковская, Площадь Восстания",900.0,6.8,6.2,6.8,10.0,distr_Centr
1941,Poema,Банкетный зал,"Садовая, Сенная Площадь, Спасская",2200.0,5.9,7.0,7.0,3.0,distr_Centr
1942,Пышечная фабрика,Кафе,Чернышевская,70.0,4.2,5.5,4.4,8.0,distr_Centr
1945,Лента Мебиуса,Ресторан,"Садовая, Сенная Площадь, Спасская",900.0,5.1,5.6,4.7,15.0,distr_Centr
1946,Осака,Ресторан,"Маяковская, Площадь Восстания",1000.0,4.6,6.4,4.3,14.0,distr_Centr
1948,Я люблю хинкали и пиво,Кафе,"Садовая, Сенная Площадь, Спасская",800.0,7.7,7.7,6.8,8.0,distr_Centr
1951,Дельфин,Кафе,"Садовая, Сенная Площадь, Спасская",650.0,0.0,0.0,0.0,10.0,distr_Centr
1952,Краб всему голова,Корнер,"Площадь Восстания, Маяковская",600.0,3.4,8.0,4.4,5.0,distr_Centr
1953,Healthy Conscience,Кафе,Маяковская,600.0,0.0,0.0,0.0,11.0,distr_Centr
1957,"О, мой боул!",Кафе,"Сенная Площадь, Садовая, Спасская",700.0,0.0,0.0,0.0,3.0,distr_Centr
1959,The Line,Ресторан,Чернышевская,1200.0,0.0,0.0,0.0,4.0,distr_Centr
1962,Poke Wave,Корнер,"Площадь Восстания, Маяковская",600.0,0.0,0.0,0.0,4.0,distr_Centr
1963,ВилкInn,Кафе,Чернышевская,700.0,0.0,0.0,0.0,5.0,distr_Centr
1964,Mangal House,Ресторан,"Невский Проспект, Гостиный Двор",1430.0,0.0,0.0,0.0,3.0,distr_Centr
1965,Soko,Кафе,Лиговский Проспект,600.0,0.0,0.0,0.0,3.0,distr_Centr
1966,Махраса №1,Ресторан,"Владимирская, Достоевская",1100.0,0.0,0.0,0.0,4.0,distr_Centr
1967,Orangery,Кафе,Чернышевская,300.0,0.0,0.0,0.0,4.0,distr_Centr
1969,Жак де Рик,Банкетный зал,"Лиговский Проспект, Обводный канал",1500.0,7.7,9.0,6.0,12.0,distr_Centr
1971,Ниагара,Банкетный зал,"Садовая, Сенная Площадь, Спасская",1700.0,0.0,0.0,0.0,2.0,distr_Centr
1974,Фламбе,Банкетный зал,"Садовая, Нарвская",1640.0,0.0,0.0,0.0,1.0,distr_Centr
1977,Biscuit Banquet,Банкетный зал,"Владимирская, Достоевская",1900.0,0.0,0.0,0.0,3.0,distr_Centr
1980,Grand Raw Bar,Корнер,"Площадь Восстания, Маяковская",600.0,0.0,0.0,0.0,2.0,distr_Centr
1982,Monkey,Ресторан,Чернышевская,1400.0,0.0,0.0,0.0,1.0,distr_Centr
1985,Цеппелин,Банкетный зал,"Гостиный Двор, Невский Проспект",1300.0,0.0,0.0,0.0,3.0,distr_Centr
1990,Плов готов,Кафе,Лиговский Проспект,600.0,8.2,8.2,8.1,4.0,distr_Centr
1991,Ричард Гирос,Корнер,"Площадь Восстания, Маяковская",600.0,0.0,0.0,0.0,1.0,distr_Centr
1994,Great Punjab,Ресторан,"Маяковская, Площадь Восстания",1000.0,0.0,0.0,0.0,1.0,distr_Centr
1995,Гамарджоба,Кафе,"Садовая, Сенная Площадь, Спасская",800.0,0.0,0.0,0.0,2.0,distr_Centr
1996,Amsterdam Chips Company,Фастфуд,Маяковская,150.0,0.0,0.0,0.0,3.0,distr_Centr
1997,Багратиони,Кафе,"Садовая, Сенная Площадь, Спасская",600.0,8.6,7.4,8.2,3.0,distr_Centr
2004,Дворец князя Владимира,Банкетный зал,"Невский Проспект, Гостиный Двор",2100.0,0.0,0.0,0.0,2.0,distr_Centr
2005,Кафе Музея Фаберже,Кафе,"Гостиный Двор, Невский Проспект",900.0,0.0,0.0,0.0,1.0,distr_Centr
2006,Маковый Jam,Кафе,"Садовая, Сенная Площадь, Спасская",700.0,0.0,0.0,0.0,4.0,distr_Centr
2008,Отдых,Кафе,"Маяковская, Площадь Восстания",500.0,0.0,0.0,0.0,4.0,distr_Centr
