,Title,type,subway,check,score_Кухня,score_Интерьер,score_Сервис,votes,district
8479,Italy на Московском,Ресторан,Парк Победы,1400.0,8.2,8.4,7.2,59.0,distr_others
8481,Vincent,Винотека,"Садовая, Сенная Площадь, Спасская",1150.0,7.8,8.7,8.4,20.0,distr_others
8483,Do Immigration,Бар,"Чернышевская, Маяковская, Площадь Восстания",500.0,7.3,7.7,3.3,9.0,distr_others
8484,Vaffel & Wine,Кафе,"Сенная Площадь, Садовая, Спасская",750.0,7.0,7.2,7.2,13.0,distr_others
8485,Garagiste,Бар,"Площадь Восстания, Маяковская, Чернышевская",1000.0,7.0,5.7,8.0,2.0,distr_others
8487,Винный склад,Винотека,"Петроградская, Выборгская",400.0,0.0,0.0,0.0,3.0,distr_others
8489,Tre Bicchieri,Ресторан,"Садовая, Сенная Площадь, Спасская",2500.0,0.0,0.0,0.0,2.0,distr_others
8493,Fortwine,Винотека,Технологический Институт,1200.0,0.0,0.0,0.0,1.0,distr_others
8494,Molto Buono,Ресторан,"Площадь Восстания, Маяковская, Чернышевская",1200.0,8.4,7.5,8.7,14.0,distr_others
8495,Krang Pizza,Пиццерия,"Сенная Площадь, Садовая, Спасская",700.0,6.5,8.2,6.1,13.0,distr_others
8496,Art Lab Medovarus,Бар,"Садовая, Сенная Площадь, Спасская",900.0,9.3,9.5,9.5,32.0,distr_others
8497,Пробирочная,Бар,Площадь Восстания,350.0,9.0,9.3,9.5,268.0,distr_others
8498,CLVIII Bar,Бар,"Площадь Александра Невского, Площадь Восстания",400.0,9.9,10.0,9.1,14.0,distr_others
8499,Co-op Garage,Пиццерия,"Садовая, Сенная Площадь, Спасская",700.0,7.5,8.2,6.5,37.0,distr_others
8501,Дружба,Бар,Звездная,850.0,8.4,8.7,8.6,27.0,distr_others
8504,Luna Bar,Бар,Проспект Просвещения,800.0,8.0,8.1,7.0,32.0,distr_others
8508,Buddha-Bar St.Petersburg,Ресторан,"Чернышевская, Площадь Александра Невского",3000.0,8.5,9.2,8.2,52.0,distr_others
8510,Luxor,Бар,"Садовая, Спасская, Сенная Площадь",800.0,8.9,8.5,8.9,18.0,distr_others
8511,Beer Travel,Бар,Комендантский Проспект,400.0,9.2,10.0,10.0,8.0,distr_others
8512,Gin Tonic Bar,Бар,"Владимирская, Достоевская, Маяковская, Площадь Восстания",200.0,9.1,8.2,8.9,9.0,distr_others
8516,Neighbours Gastropub & Bar,Кафе,Пролетарская,700.0,9.8,9.4,8.2,5.0,distr_others
8518,Bloody Mary Bar & Grill,Бар,"Сенная Площадь, Садовая, Спасская",1150.0,8.4,8.3,8.5,31.0,distr_others
8523,Imbibe,Бар,"Маяковская, Площадь Восстания",500.0,8.2,8.0,9.2,10.0,distr_others
8524,Redrum,Бар,"Маяковская, Площадь Восстания",900.0,8.9,8.0,8.3,11.0,distr_others
8525,Черная метка,Кафе,"Лиговский Проспект, Обводный канал",450.0,8.4,9.6,8.4,12.0,distr_others
8528,Beer History,Бар,"Старая Деревня, Беговая",750.0,8.5,9.0,9.1,10.0,distr_others
8529,I'm Thankful for Today,Бар,"Садовая, Невский Проспект, Адмиралтейская",900.0,8.6,9.5,9.2,13.0,distr_others
8530,Bar 812,Бар,"Маяковская, Площадь Восстания",800.0,8.8,7.6,8.8,24.0,distr_others
8531,Клуб 154,Клуб,Проспект Просвещения,1000.0,7.1,6.5,6.9,28.0,distr_others
8532,Forrest Cafe,Ресторан,Московские Ворота,800.0,6.6,7.9,6.6,16.0,distr_others
8534,Зависть,Клуб,"Невский Проспект, Гостиный Двор, Адмиралтейская",1800.0,7.2,9.0,8.0,30.0,distr_others
8535,Грибоедов,Клуб,"Лиговский Проспект, Обводный канал",850.0,7.0,7.4,7.1,20.0,distr_others
8537,Джельсомино Cafe,Ресторан,"Маяковская, Площадь Восстания",2900.0,7.4,8.1,7.4,15.0,distr_others
8538,Арка,Бар,"Невский Проспект, Гостиный Двор, Адмиралтейская",1300.0,7.8,8.0,8.3,30.0,distr_others
8540,Husky Bar,Бар,Технологический Институт,450.0,9.0,8.0,8.0,7.0,distr_others
8543,Бакунин,Бар,"Маяковская, Площадь Восстания",300.0,8.2,8.2,8.1,17.0,distr_others
8544,Library,Паб,Проспект Ветеранов,950.0,8.9,9.3,9.3,5.0,distr_others
8545,Парашют,Бар,"Садовая, Сенная Площадь, Технологический Институт, Спасская",950.0,8.3,8.5,8.1,16.0,distr_others
8546,Molly Malone,Паб,"Озерки, Проспект Просвещения",1000.0,6.5,8.1,7.0,19.0,distr_others
8549,Добрый папа,Ресторан,"Ленинский Проспект, Проспект Ветеранов",900.0,7.0,8.3,7.3,7.0,distr_others
8552,Dead Poets,Бар,"Маяковская, Площадь Восстания",1000.0,6.9,7.3,7.2,17.0,distr_others
8554,Fillin' Good,Бар,undefined,700.0,6.0,7.0,9.0,1.0,distr_others
8555,Holy Ribs,Кафе,"Маяковская, Площадь Восстания",1000.0,6.7,6.1,5.9,8.0,distr_others
8557,Градус Фаренгейта,Бар,Парк Победы,1000.0,5.6,5.5,5.2,13.0,distr_others
8558,Зажигалка,Бар,"Маяковская, Площадь Восстания",700.0,6.2,6.1,5.3,32.0,distr_others
8559,СПБ-4,Бар,Купчино,550.0,4.5,4.2,3.7,8.0,distr_others
8560,Стирка 40 градусов,Бар,"Садовая, Сенная Площадь, Спасская",250.0,3.5,5.4,6.7,5.0,distr_others
8561,Prof.Freud Club,Ресторан,Адмиралтейская,2500.0,0.0,0.0,0.0,7.0,distr_others
8562,СПБ-2,Бар,Проспект Большевиков,600.0,2.7,2.0,2.8,9.0,distr_others
8563,Без названия,Кафе,Проспект Большевиков,600.0,0.0,0.0,0.0,4.0,distr_others
8564,Hype,Ресторан,"Площадь Восстания, Маяковская",1600.0,0.0,0.0,0.0,2.0,distr_others
8565,Рядом,Рюмочная,"Сенная Площадь, Адмиралтейская, Садовая, Спасская",100.0,0.0,0.0,0.0,2.0,distr_others
8567,Sreda,Кафе,"Площадь Восстания, Маяковская",800.0,0.0,0.0,0.0,2.0,distr_others
8569,Гараж,Бар,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",700.0,0.0,0.0,0.0,3.0,distr_others
8572,Рюмочная в бутылке,Рюмочная,"Сенная Площадь, Спасская, Садовая",350.0,9.0,8.4,8.4,2.0,distr_others
8573,Spirt,Бар,"Маяковская, Площадь Восстания",1000.0,0.0,0.0,0.0,2.0,distr_others
8574,Ни в одном глазу,Бар,"Площадь Восстания, Маяковская",200.0,0.0,0.0,0.0,1.0,distr_others
8579,BarBaris,Бар,"Проспект Ветеранов, Автово",950.0,6.6,8.5,6.7,5.0,distr_others
8580,Red Cups,Бар,"Площадь Восстания, Маяковская",700.0,0.0,0.0,0.0,1.0,distr_others
8581,Woody Bar,Кафе,Обводный канал,600.0,0.0,0.0,0.0,1.0,distr_others
8582,Stereo Pub & Pizza,Пиццерия,Площадь Ленина,400.0,0.0,0.0,0.0,1.0,distr_others
8583,Garden Lounge,Бар,Удельная,1300.0,0.0,0.0,0.0,1.0,distr_others
8584,Все твои друзья,Бар,"Сенная Площадь, Садовая, Спасская",500.0,0.0,0.0,0.0,1.0,distr_others
8586,EinStein,Ресторан,"Новочеркасская, Площадь Ленина",1400.0,0.0,0.0,0.0,1.0,distr_others
8587,Дайте две,Бар,Технологический Институт,500.0,0.0,0.0,0.0,1.0,distr_others
8590,Roomie Bar,Бар,"Невский Проспект, Гостиный Двор, Адмиралтейская",800.0,0.0,0.0,0.0,1.0,distr_others
8591,Route 98,Кафе,Улица Дыбенко,800.0,0.0,0.0,0.0,3.0,distr_others
8592,Roxette Bar,Бар,"Удельная, Озерки",1500.0,0.0,0.0,0.0,2.0,distr_others
8593,Flat 63,Бар,Комендантский Проспект,200.0,0.0,0.0,0.0,1.0,distr_others
8596,Хроники,Бар,"Маяковская, Площадь Восстания",400.0,5.5,8.3,5.5,4.0,distr_others
8597,4 Friends,Бар,Технологический Институт,1700.0,0.0,0.0,0.0,2.0,distr_others
8600,Xander Bar,Ресторан,Адмиралтейская,1700.0,0.0,0.0,0.0,1.0,distr_others
8603,Башни,Бар,Балтийская,600.0,0.0,0.0,0.0,2.0,distr_others
8604,Boom,Бар,"Ленинский Проспект, Проспект Ветеранов, Автово",1150.0,0.0,0.0,0.0,2.0,distr_others
8605,Бонвиван,Бар,"Маяковская, Площадь Восстания",400.0,0.0,0.0,0.0,6.0,distr_others
8607,Beer Brothers,Кафе,Ладожская,900.0,0.0,0.0,0.0,2.0,distr_others
8610,Cubar,Бар,"Садовая, Сенная Площадь, Спасская",850.0,0.0,0.0,0.0,3.0,distr_others
8612,Пять кротов,Бар,Международная,550.0,0.0,0.0,0.0,2.0,distr_others
8613,Рамка,Бар,"Звездная, Купчино",790.0,0.0,0.0,0.0,1.0,distr_others
8614,СБГ 25,Бар,"Маяковская, Площадь Восстания",800.0,0.0,0.0,0.0,1.0,distr_others
8615,СПБ,Бар,"Невский Проспект, Гостиный Двор, Адмиралтейская",200.0,0.0,0.0,0.0,3.0,distr_others
8616,Taproom,Бар,Проспект Просвещения,500.0,0.0,0.0,0.0,2.0,distr_others
8618,Fish Fabrique Nouvelle,Бар,"Маяковская, Площадь Восстания",600.0,0.0,0.0,0.0,1.0,distr_others
8621,Чеслав,Бар,undefined,900.0,0.0,0.0,0.0,1.0,distr_others
8622,СПБ-3,Бар,Технологический Институт,550.0,0.0,0.0,0.0,2.0,distr_others
8623,Сто пудов не Хундертвассер,Бар,"Комендантский Проспект, Пионерская",600.0,0.0,0.0,0.0,1.0,distr_others
8625,Лобби-бар «Суворовский»,Бар,Площадь Восстания,2000.0,0.0,0.0,0.0,1.0,distr_others
8626,My Friends,Паб,"Садовая, Сенная Площадь, Спасская",650.0,0.0,0.0,0.0,2.0,distr_others
8628,Отмороженое 18+,Бар,"Площадь Восстания, Маяковская",900.0,0.0,0.0,0.0,3.0,distr_others
8629,Nove,Бар,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",1600.0,0.0,0.0,0.0,1.0,distr_others
8631,Brimborium,Бар,"Чернышевская, Маяковская, Площадь Восстания",400.0,8.8,8.6,8.7,4.0,distr_others
8633,#вместе,Кафе,Парнас,800.0,0.0,0.0,0.0,1.0,distr_others
8634,Велюров,Бар,"Ленинский Проспект, Автово, Кировский Завод",300.0,6.2,6.3,7.6,4.0,distr_others
8635,Вилка бар,Бар,"Чернышевская, Площадь Восстания",600.0,0.0,0.0,0.0,1.0,distr_others
8642,Depeche Mode Bar,Бар,Адмиралтейская,600.0,0.0,0.0,0.0,3.0,distr_others
8645,Every Dog,Бар,"Садовая, Сенная Площадь, Спасская",700.0,6.0,7.0,8.0,1.0,distr_others
8646,HopHead,Бар,"Чернышевская, Площадь Восстания",400.0,0.0,0.0,0.0,3.0,distr_others
8647,Cernovar,Бар,Проспект Ветеранов,1200.0,6.9,7.4,7.4,13.0,distr_others
8649,Подстреленная гусыня,Ресторан,"Маяковская, Площадь Восстания",1100.0,5.5,5.7,5.7,10.0,distr_others
8650,Get Lucky,Бар,"Ленинский Проспект, Московская",1000.0,0.0,0.0,0.0,1.0,distr_others
8651,Union,Бар,"Маяковская, Площадь Восстания",500.0,6.5,7.3,6.0,13.0,distr_others
8656,BarBus,Бар,undefined,1300.0,0.0,0.0,0.0,1.0,distr_others
8658,Ящик,Клуб,"Маяковская, Площадь Восстания",500.0,0.0,0.0,0.0,1.0,distr_others
8659,Колтуши,Ресторан,undefined,700.0,0.0,0.0,0.0,2.0,distr_others
8660,Zoccolo 2.0,Клуб,"Лиговский Проспект, Площадь Восстания",500.0,0.0,0.0,0.0,1.0,distr_others
8661,Клеопатра,Ресторан,Комендантский Проспект,600.0,0.0,0.0,0.0,1.0,distr_others
8664,Snob,Клуб,Пионерская,900.0,0.0,0.0,0.0,3.0,distr_others
8666,Burik-Beer,Ресторан,"Проспект Славы, Международная",750.0,0.0,0.0,0.0,3.0,distr_others
8668,D&D,Ресторан,undefined,850.0,0.0,0.0,0.0,1.0,distr_others
8670,Фабрика,Клуб,undefined,900.0,6.7,7.0,6.2,16.0,distr_others
8671,Арзу,Клуб,Международная,650.0,7.8,7.8,7.7,16.0,distr_others
8674,Стойкий медведь,Ресторан,Проспект Большевиков,650.0,5.7,5.7,7.5,6.0,distr_others
8675,Gatsby Bar,Бар,"Озерки, Проспект Просвещения, Академическая, Политехническая",1100.0,5.5,7.0,4.6,13.0,distr_others
8676,1703,Бар,"Лиговский Проспект, Площадь Восстания",500.0,0.0,0.0,0.0,1.0,distr_others
8677,Хаус бар,Клуб,Озерки,950.0,4.7,5.8,4.3,61.0,distr_others
8678,Гадкий койот,Клуб,"Маяковская, Площадь Восстания",300.0,4.2,6.2,4.2,88.0,distr_others
8679,Ретро-клуб Зодиак,Клуб,Купчино,1000.0,0.0,0.0,0.0,3.0,distr_others
8680,Chika,Бар,"Проспект Большевиков, Улица Дыбенко",700.0,0.0,0.0,0.0,5.0,distr_others
8681,Fireball,Клуб,Купчино,400.0,0.0,0.0,0.0,6.0,distr_others
8683,Lenon,Клуб,"Проспект Ветеранов, Ленинский Проспект",1250.0,2.7,2.8,1.6,6.0,distr_others
8686,Танцплощадка,Клуб,"Невский Проспект, Адмиралтейская",1000.0,0.0,0.0,0.0,1.0,distr_others
8689,Кухня,Бар,Площадь Восстания,400.0,0.0,0.0,0.0,2.0,distr_others
8691,Money Honey,Клуб,"Садовая, Сенная Площадь, Невский Проспект, Гостиный Двор, Спасская",460.0,5.7,8.8,4.4,10.0,distr_others
8692,Route 148,Клуб,Московские Ворота,260.0,7.6,9.2,7.6,14.0,distr_others
8693,Franki,Клуб,"Сенная Площадь, Садовая, Спасская",1400.0,9.7,9.4,9.7,10.0,distr_others
8695,Папанин,Клуб,Московские Ворота,1200.0,8.1,7.8,8.1,11.0,distr_others
8696,Gagarin,Клуб,Комендантский Проспект,1000.0,8.1,8.5,7.6,9.0,distr_others
8697,Вертеп Карабаса-Барабаса,Клуб,Черная Речка,1050.0,8.2,8.4,8.1,57.0,distr_others
8698,Пионер,Клуб,"Комендантский Проспект, Пионерская",650.0,7.7,7.8,7.4,31.0,distr_others
8699,Boroda,Паб,Парнас,650.0,9.8,9.5,9.7,7.0,distr_others
8700,Paulaner,Ресторан,Московская,1350.0,6.0,7.1,4.5,142.0,distr_others
8701,Old Whale,Паб,Парнас,1400.0,8.6,9.7,8.7,8.0,distr_others
8703,Red Brewer Craft Pub,Паб,Проспект Ветеранов,1500.0,9.7,9.0,9.7,8.0,distr_others
8705,Вкус искусства,Кофейня,"Площадь Восстания, Маяковская",300.0,0.0,0.0,0.0,2.0,distr_others
8711,Пегги О'Ниллс,Паб,Озерки,1050.0,7.6,8.8,7.9,16.0,distr_others
8712,Royalty Pub,Паб,Проспект Большевиков,1100.0,8.2,9.0,9.0,6.0,distr_others
8714,Templet,Паб,"Чернышевская, Маяковская, Площадь Восстания",900.0,8.6,8.7,8.5,14.0,distr_others
8715,Гильдия,Паб,Балтийская,1100.0,7.7,8.3,7.1,22.0,distr_others
8719,Foggy New,Паб,"Чернышевская, Маяковская, Площадь Восстания",1100.0,8.0,8.5,7.7,25.0,distr_others
8720,O'Briens,Паб,Пионерская,1050.0,5.7,7.6,4.8,18.0,distr_others
8721,Alpenhaus,Ресторан,"Новокрестовская, Крестовский Остров",1250.0,5.4,6.8,7.3,7.0,distr_others
8722,Дерби,Паб,"Площадь Ленина, Ладожская, Новочеркасская",700.0,8.0,7.3,6.2,9.0,distr_others
8724,Пивной банкъ,Паб,undefined,900.0,6.8,7.7,6.3,4.0,distr_others
8726,Green Pub,Паб,Пролетарская,800.0,0.0,0.0,0.0,5.0,distr_others
8727,Шемрок,Паб,"Садовая, Сенная Площадь, Спасская",1500.0,7.0,5.9,5.7,20.0,distr_others
8729,Murphy's,Паб,Озерки,1600.0,0.0,0.0,0.0,3.0,distr_others
8730,Docker Pub,Паб,Академическая,200.0,0.0,0.0,0.0,2.0,distr_others
8731,Моби Дик,Паб,"Старая Деревня, Комендантский Проспект",800.0,0.0,0.0,0.0,1.0,distr_others
